|novel|brut_sum|brut_type|Total Words|Percentage|field
13|Der Vergessene|47|15|11401|0.4122445399526357|M
14|Der Wald der Puppen  Band 1  Kannst du mich sehen |205|25|21854|0.9380433787864921|M
15|Der Wald der Puppen  Band 2  Die Geister die du riefst   |58|18|10971|0.5286664843678789|M
16|Die Jäger|99|27|16612|0.5959547315193835|M
17|Die Kreatur|110|29|18754|0.5865415378052682|M
18|Die Kreatur Teil 2|56|18|10440|0.5363984674329502|M
19|Die Legende der Vogelscheuche|310|43|35449|0.8744957544641598|M
20|Die Verschwörung von Kempton Rock|88|27|12995|0.6771835321277415|M
21|Die Zombieapokalypse mit den Freaks|533|43|56637|0.9410809188339778|M
22|Die letzte Nacht von Kempton Rock|110|36|12245|0.898325847284606|M
23|Die strengsten Eltern der Welt|388|50|37439|1.0363524666791313|M
24|Eine Stadt  ein Land und danach ist alles vorbei|99|25|13826|0.7160422392593664|M
25|Epidemic_0|1137|73|98025|1.1599081866870695|M
26|Epidemic_1|865|64|66073|1.3091580524571307|M
27|Epidemic Band 2_0|1036|64|98345|1.0534343382988458|M
28|Epidemic Band 2_1|1001|63|97219|1.0296341250167147|M
29|Epidemic Band 2_2|1164|73|94009|1.2381793232562839|M
30|Flucht nach Maggir|98|26|10056|0.9745425616547334|M
31|Freaks come out at night|164|36|13743|1.193334788619661|M
32|Gefangen  MMFF |337|39|36738|0.9173063313190701|M
33|Geschichten aus der Anstalt|257|52|30636|0.838882360621491|M
34|I can t remember  MMFF |414|46|32029|1.2925786006431672|M
35|Inside|86|30|10192|0.8437990580847723|M
36|Its hard to survive___Eine Zombie Apokalypse Mitmacht FanFiktion|393|49|33041|1.1894313126116038|M
37|Justitia Games|114|38|16642|0.6850138204542724|M
38|Klassentreffen|48|17|13121|0.3658257754744303|M
39|Kuss der Nacht|28|10|2786|1.0050251256281406|M
40|Let s play|175|35|18416|0.9502606429192006|M
0|Albtraum|144|23|19159|0.7516049898220157|W
1|Alina|85|19|12850|0.6614785992217899|W
2|Aller Anfang ist schwer|72|29|14258|0.5049796605414504|W
3|Angel  Arbeitstitel |88|23|11685|0.753102267864784|W
4|Anonym|41|15|11066|0.37050424724380987|W
5|Auf den Spuren der Vergangenheit|92|29|11243|0.8182869340923241|W
6|Authorities Task Force|142|32|20487|0.6931224679064772|W
7|Being Jack|105|25|14849|0.707118324466294|W
8|Broken Mirrors   |66|31|9813|0.6725771935188016|W
9|Bruderliebe|105|26|9845|1.0665312341289994|W
10|CRY|431|49|64381|0.6694521675649648|W
11|Cube|86|22|29106|0.29547172404315264|W
12|Das Attentat|245|36|29575|0.8284023668639053|W
13|Das Böse hat ein Herz|64|22|12559|0.509594712954853|W
14|Das mörderische Krimidinner|268|34|30035|0.89229232562011|W
15|Death Teacher|104|38|11433|0.9096475115892592|W
16|Der Anfang der Katastrophen oder London calling|97|29|20212|0.47991292301603006|W
17|Der Diamantenprinz|275|48|50598|0.5434997430728488|W
18|Der Fall Lukis|60|20|16181|0.37080526543476916|W
19|Der Herzensbrecher|276|36|38105|0.7243143944364256|W
